id,name,school,primaryEmailAddress.value,socialLinks,profileUrl
demo-0001,Marvin Jensen,Massachusetts Institute of Technology,marvin.jensen@example.com,"[{'type': 'LinkedIn', 'url': 'https://linkedin.com/in/demo-marvin-jensen'}, {'type': 'GitHub', 'url': 'https://github.com/demo-marvin-jensen'}]",https://app.ashbyhq.com/demo/demo-0001
demo-0002,Tariq Iyer,Massachusetts Institute of Technology,tariq.iyer@example.com,"[{'type': 'LinkedIn', 'url': 'https://linkedin.com/in/demo-tariq-iyer'}]",https://app.ashbyhq.com/demo/demo-0002
demo-0003,Zane Gallagher,Massachusetts Institute of Technology,zane.gallagher@example.com,"[{'type': 'LinkedIn', 'url': 'https://linkedin.com/in/demo-zane-gallagher'}, {'type': 'GitHub', 'url': 'https://github.com/demo-zane-gallagher'}]",https://app.ashbyhq.com/demo/demo-0003
demo-0004,Sanjay Eriksen,Massachusetts Institute of Technology,sanjay.eriksen@example.com,"[{'type': 'LinkedIn', 'url': 'https://linkedin.com/in/demo-sanjay-eriksen'}]",https://app.ashbyhq.com/demo/demo-0004
demo-0005,Katherine Khan,Massachusetts Institute of Technology,katherine.khan@example.com,"[{'type': 'LinkedIn', 'url': 'https://linkedin.com/in/demo-katherine-khan'}, {'type': 'GitHub', 'url': 'https://github.com/demo-katherine-khan'}]",https://app.ashbyhq.com/demo/demo-0005
demo-0006,Greta Lombardi,Massachusetts Institute of Technology,greta.lombardi@example.com,[],https://app.ashbyhq.com/demo/demo-0006
demo-0007,Rosa Dubois,Massachusetts Institute of Technology,rosa.dubois@example.com,"[{'type': 'GitHub', 'url': 'https://github.com/demo-rosa-dubois'}]",https://app.ashbyhq.com/demo/demo-0007
demo-0008,Vikram Ibrahim,Massachusetts Institute of Technology,vikram.ibrahim@example.com,"[{'type': 'LinkedIn', 'url': 'https://linkedin.com/in/demo-vikram-ibrahim'}, {'type': 'GitHub', 'url': 'https://github.com/demo-vikram-ibrahim'}]",https://app.ashbyhq.com/demo/demo-0008
demo-0009,Dorothy Khan,Massachusetts Institute of Technology,dorothy.khan@example.com,"[{'type': 'LinkedIn', 'url': 'https://linkedin.com/in/demo-dorothy-khan'}]",https://app.ashbyhq.com/demo/demo-0009
demo-0010,Claude Gupta,Massachusetts Institute of Technology,claude.gupta@example.com,"[{'type': 'LinkedIn', 'url': 'https://linkedin.com/in/demo-claude-gupta'}]",https://app.ashbyhq.com/demo/demo-0010
demo-0011,Priya Gupta,Massachusetts Institute of Technology,priya.gupta@example.com,"[{'type': 'LinkedIn', 'url': 'https://linkedin.com/in/demo-priya-gupta'}, {'type': 'GitHub', 'url': 'https://github.com/demo-priya-gupta'}]",https://app.ashbyhq.com/demo/demo-0011
demo-0012,Katherine Novak,Massachusetts Institute of Technology,katherine.novak@example.com,"[{'type': 'LinkedIn', 'url': 'https://linkedin.com/in/demo-katherine-novak'}]",https://app.ashbyhq.com/demo/demo-0012
demo-0013,Tomas Ueda,Massachusetts Institute of Technology,tomas.ueda@example.com,"[{'type': 'LinkedIn', 'url': 'https://linkedin.com/in/demo-tomas-ueda'}]",https://app.ashbyhq.com/demo/demo-0013
